,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
58,FALSE,mp-567593,KBH4(CN4)2,Monoclinic,P2_1/c,14,64,0.255182684,-0.228845016,FALSE,869.6441073,1.451302151,4.7685,TRUE,FALSE,NM,0.0002199,,,,,,,,,,,,,,,
59,TRUE,mp-1208153,TlB(CN)2,Tetragonal,I4_1/a,88,24,1.049865292,0.548133293,FALSE,538.4453724,3.296485646,0,FALSE,TRUE,FM,4.0414211,,,,,,,,,,,,,,,
60,FALSE,mp-559648,KBC4NF9,Orthorhombic,Pnma,62,64,0.407843444,-1.683202892,FALSE,921.8102724,2.03877215,6.8493,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
61,TRUE,mp-989460,B2(CN2)3,Trigonal,R32,155,11,0.189051969,-0.344109018,FALSE,263.0588731,0.894434458,2.7396,FALSE,FALSE,NM,9.57E-05,,,,,,,,,,,,,,,
62,FALSE,mp-1203791,B2PH20C5N,Orthorhombic,Pca2_1,29,116,0.146640886,-0.200112712,FALSE,1254.578552,0.777286197,5.0846,TRUE,FALSE,NM,8.94E-05,,,,,,,,,,,,,,,
63,TRUE,mp-1228638,B2CN2,Trigonal,R3m,160,10,0.467174152,-0.70578002,FALSE,60.20760375,3.400426224,1.0154,FALSE,FALSE,NM,2.70E-06,,,,,,,,,,,,,,,
64,TRUE,mp-2455462,B2(CN2)3,Trigonal,R32,155,11,0.176037744,-0.357123243,FALSE,229.245806,1.026360851,2.2987,FALSE,FALSE,NM,0,,,,,,,-19.08,,,,,,,,
65,FALSE,mp-569303,ZnB2(CN)8,Trigonal,P-3m1,164,19,0.441449813,0.079896101,FALSE,303.601835,1.614422549,5.5259,FALSE,FALSE,NM,0.0009774,,,,,,,,,,,,,,,
66,TRUE,mp-989468,B2(CN2)3,Triclinic,P-1,2,44,0.448986963,-0.084174024,FALSE,279.4175915,3.368276413,2.4254,FALSE,FALSE,NM,0.0003139,,,,,,,,,,,,,,,
67,TRUE,mp-567699,HgB2(CN)8,Trigonal,P-3m1,164,19,0.520897412,0.212225262,FALSE,332.9573017,2.146266132,4.6143,FALSE,FALSE,NM,0.0003265,,,,,,,,,,,,,,,
68,TRUE,mp-1096872,B2(CN2)3,Orthorhombic,Pnnm,58,22,0.642678764,0.109517777,FALSE,228.8061886,2.056665706,1.8805,FALSE,FALSE,NM,0.0007006,,,,,,,,,,,,,,,
69,TRUE,mp-1376593,B2(CN2)3,Orthorhombic,Pmn2_1,31,22,0.306146955,-0.227014032,FALSE,342.400994,1.374347182,2.5371,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
70,FALSE,mp-1204652,B2H20C6N3Cl5,Trigonal,P3_121,152,216,0.208284745,-0.391239538,FALSE,2916.082859,1.138188944,0.4334,TRUE,FALSE,FM,12.0119228,,,,,,,,,,,,,,,
71,FALSE,mp-1200331,MgB2H4C8(N4O)2,Tetragonal,I-42d,122,50,0.395655036,-0.359469145,FALSE,732.9185329,1.314517184,5.3302,TRUE,FALSE,NM,0.0005516,,,,,,,,,,,,,,,
72,TRUE,mp-1097791,B2(CN2)3,Monoclinic,Pm,6,22,0.305290557,-0.227870431,FALSE,342.353212,1.374538999,2.5699,FALSE,FALSE,NM,0.0020948,,,,,,,,,,,,,,,
73,FALSE,mp-554598,B2H10C2NClO3,Triclinic,P-1,2,38,0.15617332,-0.919372343,FALSE,396.4030057,1.283353219,3.8874,FALSE,FALSE,NM,0.0010016,,,,,,,,,,,,,,,
74,TRUE,mp-1008525,B2CN,Trigonal,R3m,160,4,0.345978915,-0.41847522,FALSE,25.42389845,3.111524575,0,FALSE,TRUE,NM,0.0036087,,,,,,,2.056,,,,,,,,
75,TRUE,mp-1008527,B2CN,Tetragonal,P-4m2,115,4,0.32626167,-0.438192465,FALSE,25.30944697,3.125595154,0,FALSE,TRUE,NM,0.0023625,,,,,,,-2.932,,,,,,,,
